Filtering the log data using "process BEGINSWITH[cd] "Maccy""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-07 19:41:43.867621-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:AutomaticTermination] void _updateToReflectAutomaticTerminationState(void) Setting _kLSApplicationWouldBeTerminatedByTALKey=1
2026-04-07 19:41:49.363041-0400 0x3377df   Default     0x0                  34254  2    Maccy: (LaunchServices) [com.apple.launchservices:db] NotifyToken::RegisterDispatch(user.uid.501.com.apple.LaunchServices.database) fired for session key <private>
2026-04-07 19:41:49.516119-0400 0x3377c0   Default     0x0                  34254  2    Maccy: (LaunchServices) [com.apple.launchservices:default] LSExceptions shared instance invalidated for timeout.
2026-04-07 19:41:55.788050-0400 0x3377bf   Info        0x0                  34254  0    Maccy: (LaunchServices) [com.apple.launchservices:cas] Removing cached information for app [ 0x0-0xc10c10]  "Maccy", as its seed is different from that in shared memory ( 531 vs 534)
2026-04-07 19:41:55.798605-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IATextInputActions] initWithAnalyticsMetadataObserver service
2026-04-07 19:41:55.798809-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IATextInputActions] mergeOrConsumeAction calling sendSignal:toChannel:withNullableSessionID:withPayload:
2026-04-07 19:41:55.799448-0400 0x3377df   Default     0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IASignalAnalytics] channel:<private> signal:<private> sessionID:<private> timestamp:<private> payload:<private>
2026-04-07 19:41:55.799524-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: fetching xpcClient...
2026-04-07 19:41:55.799767-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] Initialized 0x9154a7360
2026-04-07 19:41:55.799815-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] 0x9154a7360 using shared remote object proxy
2026-04-07 19:41:55.799834-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] 0x9154a7360 calling connection resume after shared instance
2026-04-07 19:41:55.799961-0400 0x3377df   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9150875c0] activating connection: mach=true listener=false peer=false name=com.apple.inputanalyticsd
2026-04-07 19:41:55.800384-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IAXPCclient 0x9154a7360 init created _connection 0x917811400 _server 0x0 with IXAXPCProtocol
2026-04-07 19:41:55.800414-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] IASignalAnalytics: ...returning xpcClient 0x9154a7360
2026-04-07 19:41:55.800428-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics.client:IAXPCClient] server: returning server 0x9149a8af0
2026-04-07 19:41:55.800754-0400 0x3377df   Info        0x0                  34254  0    Maccy: (InputAnalytics) [com.apple.inputAnalytics:IAServerStats] Logging <private>
2026-04-07 19:41:55.804798-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] context (0 -> 36122d2f) for window 19cc
2026-04-07 19:41:55.806556-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (HIToolbox) [com.apple.inputmethodkitClient:Client] +[IMKClient subclass]: chose IMKClient_Modern
2026-04-07 19:41:55.807203-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (TextInputUIMacHelper) [com.apple.TextInputUI:CursorUI] -[TUINSCursorUIController scheduleUpdateCursorLocation]
2026-04-07 19:41:55.807751-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Window] order window: 19c5 op: 1 relative: 0 related: 0
2026-04-07 19:41:55.807809-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:AutomaticTermination] void _NSEnableAutomaticTerminationAndLog(NSString *) No windows open yet
2026-04-07 19:41:55.808059-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (AppKit) [com.apple.AppKit:Intelligence] starting collection observation
2026-04-07 19:41:55.808206-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] establishing connection to agent
2026-04-07 19:41:55.808260-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:session] [0x9149a8e60] Session created.
2026-04-07 19:41:55.808271-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:session] [0x9149a8e60] Session created from connection [0x915087840]
2026-04-07 19:41:55.808313-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087840] activating connection: mach=true listener=false peer=false name=com.apple.uiintelligencesupport.agent
2026-04-07 19:41:55.808452-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:session] [0x9149a8e60] Session activated
2026-04-07 19:41:55.809096-0400 0x3377df   Default     0x0                  34254  0    Maccy: (UIIntelligenceSupport) [com.apple.UIIntelligenceSupport:xpc] Connection established with agent PID: 11505
2026-04-07 19:41:55.813272-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087980] activating connection: mach=false listener=false peer=false name=com.apple.ViewBridgeAuxiliary
2026-04-07 19:41:55.828127-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087ac0] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:55.828534-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087c00] activating connection: mach=false listener=true peer=false name=(anonymous)
2026-04-07 19:41:55.828561-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087c00] Connection returned listener port: 0xec0f
2026-04-07 19:41:55.833846-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CarbonCore) [com.apple.CarbonCore:gestalt] SetGestaltValue SetGestaltValue(swex 1) => 0
2026-04-07 19:41:55.834184-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:3] Alloc com.apple.backboard.hid-services.xpc
2026-04-07 19:41:55.834235-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087e80] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-04-07 19:41:55.834814-0400 0x3377df   Error       0x0                  34254  0    Maccy: (BaseBoard) [com.apple.BaseBoard:Common] Unable to obtain a task name port right for pid 647: (os/kern) failure (0x5)
2026-04-07 19:41:55.835115-0400 0x3377df   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc000] activating connection: mach=false listener=false peer=false name=com.apple.TextInputUI.xpc.CursorUIViewService
2026-04-07 19:41:55.835372-0400 0x3377c0   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc000] invalidated after the last release of the connection object
2026-04-07 19:41:55.837159-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x915087980] invalidated after the last release of the connection object
2026-04-07 19:41:55.886131-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (TextInputUIMacHelper) [com.apple.TextInputUI:CursorUI] -[TUINSCursorUIController scheduleUpdateCursorLocation]
2026-04-07 19:41:55.886399-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (FrontBoardServices) [com.apple.FrontBoard:SceneClient] [com.apple.controlcenter:B52240D3-DCA5-4A79-8A17-D2AEC7BAD5C5] Sending action(s) in update: NSSceneFenceAction
2026-04-07 19:41:55.916974-0400 0x3377df   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc280] activating connection: mach=false listener=false peer=false name=com.apple.SafariPlatformSupport.Helper
2026-04-07 19:41:55.917012-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:entry] CopyData('DefaultAsciiKeyboardLayoutPasteboard' (<CFUUID 0x91562bf20> DBF02E9E-E0EA-40CD-B544-552877BE95E3) gen: -1 item: 1264739405 flavor: 'DefaultAsciiKeyboardLayoutFlavor')
2026-04-07 19:41:55.917027-0400 0x3377a3   Info        0x0                  34254  0    Maccy: (CoreFoundation) [com.apple.CFPasteboard:exit] (not-in-cache) - result: -8 generation: 0 null data flags: 0
2026-04-07 19:41:55.917463-0400 0x3377a3   Default     0x0                  34254  0    Maccy: (libxpc.dylib) [com.apple.xpc:connection] [0x9151cc140] activating connection: mach=false listener=false peer=false name=(anonymous)
